Актуальное местоположение,Общее количество прокатов,Среднее количество прокатов в день
"01. Вознесенский просп., 1",1040.0,7.65
"02. Лиговский просп., 153 (ТЦ ""Лиговъ"")",623.0,4.58
"03. Греческая площадь, Автостоянка №12",586.0,4.31
"04. Загородный просп., 74",765.0,5.63
05. ст. метро «Лиговский проспект»,637.0,4.68
"06. Малая Морская ул., 4/1 лит.А",1449.0,10.65
"07. Марсово поле, 3",1224.0,9.0
"08. Невский просп., 177",453.0,3.33
"09. Невский просп., 35",1549.0,11.39
10. Площадь Восстания,669.0,4.92
"11. Новочеркасский просп., 41/14",506.0,3.72
12. Площадь Балтийского вокзала,513.0,3.77
"13. Лиговский просп., 16 (Московский Вокзал)",923.0,6.79
"14. Площадь Искусств, 3",642.0,4.72
"15. ул. Комсомола, 35 (Площадь Ленина)",727.0,5.35
16. ст. метро «Петроградская» (Площадь Льва Толстого),1135.0,8.35
"17. Площадь Островского, Автостоянка №14 1",347.0,2.55
"18. Площадь Труда, 6",337.0,2.48
"19. ст. метро «Крестовский остров» (Морской просп., 45)",1566.0,11.51
"20. Сенная площадь, 5",781.0,5.74
"21. Синопская наб. (просп. Бакунина, 35)",191.0,1.4
"22. 1-я Советская ул., 7/124",316.0,2.32
23. ст. метро «Василеостровская»,1711.0,12.58
24. ст. метро «Горьковская»,1700.0,12.5
25. ст. метро «Приморская»,765.0,5.63
26. ст. метро «Спортивная»,1030.0,7.57
27. ст. метро «Чкаловская»,944.0,6.94
"28. Чернышевского просп, 20",1156.0,8.5
"29. Кораблестроителей ул., Park Inn",865.0,6.36
