Описаний,GPS координаты,Геогр. Широта,Геогр. Долгота
"01. Вознесенский просп., 1","59°56'8.056""N,30°18'30.229""E",59.935571,30.308397
"02. Лиговский просп., 153 (ТЦ ""Лиговъ"")","59°54'55.058""N,30°20'51.968""E",59.915294,30.347769
"03. Греческая площадь, Автостоянка №12","59°56'11.260""N,30°21'54.864""E",59.936461,30.36524
"04. Загородный просп., 74","59°55'0.574""N,30°19'7.266""E",59.916826,30.318685
05. ст. метро «Лиговский проспект»,"59°55'15.845""N,30°21'18.176""E",59.921068,30.355049
"06. Малая Морская ул., 4/1 лит.А","59°56'11.004""N,30°18'52.744""E",59.93639,30.314651
"07. Марсово поле, 3","59°56'34.998""N,30°19'45.286""E",59.943055,30.329246
"08. Невский просп., 177","59°55'25.158""N,30°23'1.936""E",59.923655,30.383871
"09. Невский просп., 35","59°56'3.214""N,30°20'3.077""E",59.934226,30.334188
10. Площадь Восстания,"59°55'51.272""N,30°21'47.455""E",59.930909,30.363182
"11. Новочеркасский просп., 41/14","59°55'44.947""N,30°24'39.132""E",59.929152,30.41087
12. Площадь Балтийского вокзала,"59°54'29.819""N,30°18'1.642""E",59.908283,30.300456
"13. Лиговский просп., 16 (Московский Вокзал)","59°55'48.328""N,30°21'38.686""E",59.930091,30.360746
"14. Площадь Искусств, 3","59°56'14.881""N,30°19'46.582""E",59.937467,30.329606
"15. ул. Комсомола, 35 (Площадь Ленина)","59°57'17.834""N,30°21'26.777""E",59.954954,30.357438
16. ст. метро «Петроградская» (Площадь Льва Толстого),"59°57'57.740""N,30°18'41.947""E",59.966039,30.311652
"17. Площадь Островского, Автостоянка №14 1","59°55'56.165""N,30°20'7.876""E",59.932268,30.335521
"18. Площадь Труда, 6","59°55'52.910""N,30°17'35.963""E",59.931364,30.293323
"19. ст. метро «Крестовский остров» (Морской просп., 45)","59°58'16.842""N,30°15'33.682""E",59.971345,30.259356
"20. Сенная площадь, 5","59°55'38.683""N,30°19'6.611""E",59.927412,30.318503
"21. Синопская наб. (просп. Бакунина, 35)","59°55'52.712""N,30°23'20.177""E",59.931309,30.388938
"22. 1-я Советская ул., 7/124","59°55'50.614""N,30°21'54.976""E",59.930726,30.365271
23. ст. метро «Василеостровская»,"59°56'33.580""N,30°16'44.810""E",59.942661,30.279114
24. ст. метро «Горьковская»,"59°57'22.788""N,30°19'9.606""E",59.95633,30.319335
25. ст. метро «Приморская»,"59°56'55.266""N,30°14'3.973""E",59.948685,30.234437
26. ст. метро «Спортивная»,"59°57'5.407""N,30°17'34.076""E",59.951502,30.292799
27. ст. метро «Чкаловская»,"59°57'39.175""N,30°17'29.965""E",59.960882,30.291657
"28. Чернышевского просп, 20","59°56'41.305""N,30°21'34.254""E",59.944807,30.359515
"29. Кораблестроителей ул., Park Inn","59°56'21.725""N,30°13'1.175""E",59.939368,30.216993
